Radicado	Acta Conciliacion	Prefijo Factura	# Factura	CONCATENAR	NOTA CREDITO	Valor Factura	Total Glosas	Valor Aceptado en Conciliacion
808497	AC000862	HUS	466991	HUS466991	309365	$ 114.236	$ 7.473	$ 7.473
808498	AC000862	HUS	467088	HUS467088	309366	$ 114.236	$ 7.473	$ 7.473
808499	AC000862	HUS	467138	HUS467138	309368	$ 114.236	$ 7.473	$ 7.473
808588	AC000862	HUS	466035	HUS466035	309244	$ 247.765	$ 16.209	$ 16.209
808589	AC000862	HUS	466053	HUS466053	309247	$ 247.765	$ 16.209	$ 16.209
808590	AC000862	HUS	466080	HUS466080	309249	$ 247.765	$ 16.209	$ 16.209
808591	AC000862	HUS	466095	HUS466095	309252	$ 247.765	$ 16.209	$ 16.209
808593	AC000862	HUS	466136	HUS466136	309256	$ 247.765	$ 16.209	$ 16.209
808594	AC000862	HUS	466160	HUS466160	309261	$ 247.765	$ 16.209	$ 16.209
808595	AC000862	HUS	466172	HUS466172	309264	$ 247.765	$ 16.209	$ 16.209
809034	AC000862	HUS	466703	HUS466703	309292	$ 674.214	$ 160.330	$ 160.330
809035	AC000862	HUS	466712	HUS466712	309297	$ 674.214	$ 160.330	$ 160.330
809037	AC000862	HUS	466723	HUS466723	309299	$ 674.214	$ 160.330	$ 160.330
809038	AC000862	HUS	466734	HUS466734	309300	$ 114.236	$ 7.473	$ 7.473
809039	AC000862	HUS	466785	HUS466785	309307	$ 80.775	$ 19.209	$ 19.209
809040	AC000862	HUS	466845	HUS466845	309322	$ 674.214	$ 160.330	$ 160.330
809043	AC000862	HUS	466852	HUS466852	309324	$ 674.214	$ 160.330	$ 160.330
809045	AC000862	HUS	466856	HUS466856	309327	$ 674.214	$ 160.330	$ 160.330
809046	AC000862	HUS	466867	HUS466867	309349	$ 674.214	$ 160.330	$ 160.330
809047	AC000862	HUS	466919	HUS466919	309357	$ 114.236	$ 7.473	$ 7.473
809048	AC000862	HUS	467147	HUS467147	309369	$ 674.214	$ 160.330	$ 160.330
809049	AC000862	HUS	467159	HUS467159	309371	$ 87.835	$ 5.746	$ 5.746
809050	AC000862	HUS	467195	HUS467195	309372	$ 674.214	$ 160.330	$ 160.330
809579	AC000862	HUS	466096	HUS466096	309255	$ 114.236	$ 7.473	$ 7.473
809580	AC000862	HUS	466179	HUS466179	309265	$ 247.765	$ 16.209	$ 16.209
809581	AC000862	HUS	466203	HUS466203	309269	$ 247.765	$ 16.209	$ 16.209
810522	AC000862	HUS	469578	HUS469578	309254	$ 80.775	$ 19.209	$ 19.209
810700	AC000862	HUS	467776	HUS467776	309374	$ 179.905	$ 33.640	$ 33.640
810703	AC000862	HUS	467812	HUS467812	309380	$ 179.030	$ 33.477	$ 33.477
811242	AC000862	HUS	466775	HUS466775	309302	$ 80.775	$ 19.209	$ 19.209
811243	AC000862	HUS	466781	HUS466781	309305	$ 114.236	$ 7.473	$ 7.473
811245	AC000862	HUS	466797	HUS466797	309310	$ 145.520	$ 9.520	$ 9.520
811246	AC000862	HUS	466802	HUS466802	309312	$ 674.214	$ 160.330	$ 160.330
811249	AC000862	HUS	466823	HUS466823	309315	$ 80.775	$ 19.209	$ 19.209
811252	AC000862	HUS	466839	HUS466839	309318	$ 80.775	$ 19.209	$ 19.209
811253	AC000862	HUS	466842	HUS466842	309321	$ 674.214	$ 160.330	$ 160.330
811254	AC000862	HUS	466859	HUS466859	309332	$ 674.214	$ 160.330	$ 160.330
811255	AC000862	HUS	466862	HUS466862	309334	$ 80.775	$ 19.209	$ 19.209
811256	AC000862	HUS	466863	HUS466863	309336	$ 674.214	$ 160.330	$ 160.330
811257	AC000862	HUS	466864	HUS466864	309339	$ 674.214	$ 160.330	$ 160.330
811258	AC000862	HUS	466865	HUS466865	309347	$ 674.214	$ 160.330	$ 160.330
811305	AC000862	HUS	467356	HUS467356	309373	$ 114.236	$ 7.473	$ 7.473
811653	AC000862	HUS	466248	HUS466248	309273	$ 247.765	$ 16.209	$ 16.209
811654	AC000862	HUS	466249	HUS466249	309275	$ 247.765	$ 16.209	$ 16.209
811655	AC000862	HUS	466252	HUS466252	309278	$ 247.765	$ 16.209	$ 16.209
811656	AC000862	HUS	466256	HUS466256	309281	$ 247.765	$ 16.209	$ 16.209
811658	AC000862	HUS	466326	HUS466326	309284	$ 247.765	$ 16.209	$ 16.209
811659	AC000862	HUS	466331	HUS466331	309287	$ 247.765	$ 16.209	$ 16.209
811691		HUS	466929	HUS466929	309363	$ 2.241.863	$ 177.651	$ 177.651
814076	AC000862	HUS	468341	HUS468341	309394	$ 247.765	$ 16.209	$ 16.209
814084	AC000862	HUS	469545	HUS469545	309251	$ 80.775	$ 19.209	$ 19.209
814085	AC000862	HUS	470539	HUS470539	309358	$ 114.236	$ 7.473	$ 7.473
814089	AC000862	HUS	468165	HUS468165	309388	$ 114.236	$ 7.473	$ 7.473
814090	AC000862	HUS	468348	HUS468348	309396	$ 114.236	$ 7.473	$ 7.473
814098	AC000862	HUS	470320	HUS470320	309320	$ 247.765	$ 16.209	$ 16.209
814099	AC000862	HUS	470326	HUS470326	309325	$ 247.765	$ 16.209	$ 16.209
814101	AC000862	HUS	470373	HUS470373	309328	$ 674.214	$ 160.330	$ 160.330
